Назва,Ціна - $(USD),Ціна - грн(UAH),Місто,Пробіг,Тип палива,Трансмісія,Учасник ДТП,VIN-код,Актуальність,Посилання
Opel Astra F  1992,1950,53196,Вінниця,310 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,W0L000059P4067893,14.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30533216.html
Opel Astra F tdi 1995,2000,54560,Львів,300 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Платний перегляд,13.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29494624.html
Opel Astra F  1996,3000,81720,Харків,391 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,13.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30528025.html
Opel Astra F  1992,2200,59972,Львів,332 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,13.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29946784.html
Opel Astra F GSI 1994,2000,54520,Харків,200 тис. км,"Газ / Бензин, 1.8 л.",Ручна / Механіка,-,Платний перегляд,13.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_28138996.html
Opel Astra F  1997,2300,62698,Чернівці,290 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,13.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30523392.html
Opel Astra F  1995,3000,81750,Черкаси,241 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,13.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30252002.html
Opel Astra F  1992,2000,54500,Житомир,300 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,W0L000051N2529186,13.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_23055753.html
Opel Astra F  1992,2400,65400,Львів,315 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,W0L000051N2695145,12.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30518985.html
Opel Astra F Astra K 2016,9950,271038,Житомир,190 тис. км,"Дизель, 1.6 л.",Ручна / Механіка,-,Відсутній,12.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29782055.html
Opel Astra F  1997,3150,85838,Київ,270 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,12.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30219099.html
Opel Astra F ісузо 1997,2800,76300,Золочів,300 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Платний перегляд,12.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_26894474.html
Opel Astra F  1998,2500,68125,Бровари,390 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,11.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30017300.html
Opel Astra F  1996,2300,62698,Одеса,287 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,W0L000058T2552578,11.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30271347.html
Opel Astra F  1992,2800,76300,Первомайськ,356 тис. км,Бензин,Ручна / Механіка,-,Відсутній,10.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30504802.html
Opel Astra F  1993,1500,40875,Рокитне,270 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,10.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30504448.html
Opel Astra F  1996,2500,68125,Кам'янське (Дніпродзержинськ),300 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Платний перегляд,10.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30503951.html
Opel Astra F  1992,2200,59950,Бучач,272 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,10.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30502800.html
Opel Astra F  1994,1800,49122,Київ,252 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,10.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30501739.html
Opel Astra F  2009,6500,177125,Луцьк,178 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,10.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30499444.html
Opel Astra F  1993,1700,46342,Вінниця,223 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,10.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30499350.html
Opel Astra F  1993,1900,51775,Вінниця,194 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,9.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30494711.html
Opel Astra F  1998,1900,51832,Гнівань,296 тис. км,Бензин,Ручна / Механіка,-,Відсутній,9.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30493354.html
Opel Astra F  1997,2700,73602,Вижниця,275 тис. км,"Бензин, 1.8 л.",Ручна / Механіка,-,Платний перегляд,9.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29560235.html
Opel Astra F  1993,1600,43568,Полтава,200 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,7.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30477637.html
Opel Astra F  1994,2200,59928,Ірпінь,260 тис. км,"Бензин, 1.8 л.",Ручна / Механіка,-,Платний перегляд,7.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30474437.html
Opel Astra F  1996,2600,70954,Біла Церква,400 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,7.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29774681.html
Opel Astra F  1994,1400,38192,Коростень,380 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,7.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_27587750.html
Opel Astra F Combi Classic 2000,2900,79054,Львів,212 тис. км,"Бензин, 1.4 л.",Не вказано,-,W0L0MFF35YG042453,7.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30470159.html
Opel Astra F  1997,2650,72213,Львів,398 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,7.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_26737328.html
Opel Astra F  1992,2600,70850,Львів,460 тис. км,"Бензин, 1.6 л.",Не вказано,-,Платний перегляд,6.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30466133.html
Opel Astra F  1995,2800,76188,Луцьк,267 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,6.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30461477.html
Opel Astra F  1995,2800,76384,Рогатин,169 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,6.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_28197641.html
Opel Astra F  1995,2600,70798,Тернопіль,423 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,W0L000051S2621305,5.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29978150.html
Opel Astra F  1997,3150,85775,Львів,295 тис. км,Дизель,Ручна / Механіка,-,W0L000051V2228216,5.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29202879.html
Opel Astra F  2001,3900,106197,Чернівці,303 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Платний перегляд,5.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30451168.html
Opel Astra F  1995,1500,40860,Рівне,305 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,5.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29820735.html
Opel Astra F  1993,3200,87040,Обухів,285 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,5.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30448231.html
Opel Astra F  1995,2700,73656,Кременець,37 тис. км,"Бензин, 1.8 л.",Ручна / Механіка,-,Платний перегляд,5.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_28615658.html
Opel Astra F  1995,2450,66836,Надвірна,286 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,5.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_26904778.html
Opel Astra F  1992,1450,39498,Калуш,10 тис. км,"Дизель, 1.7 л.",Не вказано,-,Платний перегляд,4.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30157355.html
Opel Astra F  1992,1050,28634,Львів,234 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,W0L000053N5167161,3.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_24949285.html
Opel Astra F  1992,2200,59972,Літин,234 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Платний перегляд,3.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30428754.html
Opel Astra F  1994,2200,60060,Могилів-Подільський,379 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,3.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30164404.html
Opel Astra F  1993,3500,95550,Сколе,317 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Відсутній,2.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29139829.html
Opel Astra F  1992,2300,62675,Тетіїв,200 тис. км,"Газ / Бензин, 1.4 л.",Не вказано,-,Відсутній,2.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30414877.html
Opel Astra F  1992,1600,43664,Одеса,30 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,1.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30297916.html
Opel Astra F B 1995,2100,57183,Вінниця,321 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,1.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_28837726.html
Opel Astra F C18XEL 16V 1994,1900,51775,Івано-Франківськ,225 тис. км,"Бензин, 1.8 л.",Ручна / Механіка,-,Платний перегляд,1.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30412124.html
Opel Astra F  1995,2499,68148,Чернівці,311 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,1.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30411767.html
Opel Astra F  1993,3499,95313,Білгород-Дністровський,262 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,W0L000058R2534336,1.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_29144966.html
Opel Astra F  1992,2500,68200,Коростишів,287 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,1.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30405898.html
Opel Astra F  1993,1950,53118,Самбір,100 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,30.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_28867909.html
Opel Astra F  1995,2700,73494,Полтава,290 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,30.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30397728.html
Opel Astra F  1995,1950,53177,Дрогобич,292 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,W0L000058S2541249,29.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30392832.html
Opel Astra F  1994,2800,76272,Полтава,400 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,29.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30389843.html
Opel Astra F  1998,3500,95340,Христинівка,180 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,29.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30099628.html
Opel Astra F  1992,2000,54480,Львів,360 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,29.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_29400050.html
Opel Astra F  1998,2400,65448,Полтава,308 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,28.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30380994.html
Opel Astra F  1996,2000,54460,Кременчук,397 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Відсутній,28.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30376517.html
Opel Astra F  1997,2700,73494,Біла Церква,223 тис. км,"Газ / Бензин, 1.6 л.",Не вказано,-,Платний перегляд,28.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30203461.html
Opel Astra F  1994,3000,81660,Чернігів,500 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,28.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_29405836.html
Opel Astra F GL 1992,2200,59884,Іршава,300 тис. км,Бензин,Ручна / Механіка,-,Відсутній,27.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30369799.html
Opel Astra F  1993,2000,54540,Сарни,524 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,26.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30363831.html
Opel Astra F  1995,2100,57204,Івано-Франківськ,190 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,26.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30362061.html
Opel Astra F  1996,3300,89958,Дніпро (Дніпропетровськ),293 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Відсутній,26.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_29360832.html
Opel Astra F G Caravan 1997,2000,54540,Івано-Франківськ,340 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Платний перегляд,25.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30351424.html
Opel Astra F  1993,2400,65424,Немирів,332 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,25.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30347341.html
Opel Astra F  1995,2600,71318,Рівне,300 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,W0L000051S2558584,25.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30346715.html
Opel Astra F  1994,2600,71318,Стрий,185 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Відсутній,24.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30345399.html
Opel Astra F  1994,2400,65832,Рівне,254 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,24.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30343363.html
Opel Astra F  1995,1650,45012,Вінниця,90 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,24.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30343065.html
Opel Astra F  1994,2300,62744,Київ,320 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,W0L000057S5105468,23.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_29253883.html
Opel Astra F  2006,5750,156918,Суми,192 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,23.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30327473.html
Opel Astra F  1994,2600,70954,Вінниця,242 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,22.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30319159.html
Opel Astra F  1998,2400,65472,Івано-Франківськ,230 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,20.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30307148.html
Opel Astra F  1995,2500,68250,Івано-Франківськ,303 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,W0L000051S2599830,20.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_29975400.html
Opel Astra F  1997,2100,57393,Вінниця,288 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,W0L000051V2194655,20.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30210048.html
Opel Astra F  1992,1700,46325,Житомир,411 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,20.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30303122.html
Opel Astra F  1 7 DTL  1995,3300,90090,Жмеринка,290 тис. км,Дизель,Ручна / Механіка,-,Відсутній,19.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_29648212.html
Opel Astra F  1994,2850,77805,Славута,200 тис. км,Бензин,Не вказано,-,Відсутній,19.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_29962763.html
Opel Astra F  1999,3200,87136,Трускавець,356 тис. км,"Газ / Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,19.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_23472008.html
Opel Astra F  1995,2300,62675,Прилуки,365 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,18.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30287092.html
Opel Astra F  1992,2100,57225,Одеса,320 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Платний перегляд,15.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30250669.html
Opel Astra F  1993,2800,77448,Олександрія,350 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Платний перегляд,14.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_27089898.html
Opel Astra F  1995,2700,73845,Житомир,217 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,W0L000058S5204614,13.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30082984.html
Opel Astra F  1994,1350,36747,Вижниця,200 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,7.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30469121.html
Opel Astra F  1992,1541,42000,Харків,325 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,13.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_22921581.html
Opel Astra F  1995,2600,70902,Виноградів,426 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Відсутній,9.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30487396.html
Opel Astra F  1992,3300,90024,Світловодськ,340 тис. км,1.8 л.,Ручна / Механіка,-,Відсутній,5.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_15325859.html
Opel Astra F  1992,1650,45012,Тернопіль,210 тис. км,Бензин,Автомат,-,Відсутній,4.07.2021,https://auto.ria.com/uk/auto_opel_astra_f_30444881.html
Opel Astra F  1993,2200,59796,Лебедин,270 тис. км,"Дизель, 1.7 л.",Ручна / Механіка,-,Відсутній,30.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_15786075.html
Opel Astra F  1996,2850,77720,Луцьк,289 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,29.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30391913.html
Opel Astra F  1995,3650,99572,Кропивницький (Кіровоград),280 тис. км,"Газ / Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,28.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_21815581.html
Opel Astra F  1994,2900,79112,Запоріжжя,250 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,28.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_18902617.html
Opel Astra F  2003,5300,145379,Київ,218 тис. км,"Бензин, 1.6 л.",Ручна / Механіка,-,Відсутній,25.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_19279487.html
Opel Astra F  1997,1800,49104,Вінниця,314 тис. км,"Бензин, 1.4 л.",Ручна / Механіка,-,Відсутній,24.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_30059458.html
Opel Astra F  1998,4000,108920,Яремче,1 тис. км,"Бензин, 1.8 л.",Ручна / Механіка,-,Відсутній,20.06.2021,https://auto.ria.com/uk/auto_opel_astra_f_16546375.html
