Назва,Ціна - $(USD),Ціна - грн(UAH),Місто,Тип палива,Трансмісія,Тип приводу,Пропозиції,VIN-код,Фото,Посилання
Volkswagen Touareg 2021 Touareg 3.0 TDI AT (231 к.с) AWD,64273,1754042,Київ,Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0% / Під замовлення - 7 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__922821-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1863862.html
Volkswagen Arteon 2021 R-Line 2.0 TDI DSG (200 к.с) 4x4,49050,505,Хмельницький,Дизель (2.0 л),Автомат,Повний привід,Ціну знижено / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-arteon__1289818-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-arteon-1863859.html
Volkswagen Touareg 2021 Touareg 3.0 TDI AT (231 к.с) AWD,63484,1732510,Миколаїв,Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0% / Під замовлення - 30 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1291838-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1863957.html
Volkswagen Tiguan 2021 R-Line 2.0 TSI DSG (220 к.с) 4Motion,45056,1229601,Київ,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1292426-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863975.html
Volkswagen Tiguan 2021 R-Line 2.0 TDI DSG (150 к.с) 4motion,46729,1275258,Київ,Дизель (2.0 л),Автомат,Повний привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1204751-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1859826.html
Volkswagen Tiguan 2021 R-Line 2.0 TSI DSG (220 к.с) 4Motion,43041,1174610,Київ,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1292306-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863970.html
Volkswagen T-Roc 2021 Style 1.5 TSI DSG (150 к.с),27849,760000,Житомир,Бензин (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-roc__1257478-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-roc-1862478.html
Volkswagen Tiguan 2021 R-Line 2.0 TSI DSG (220 к.с) 4Motion,41994,1146037,Київ,Бензин (2.0 л),Автомат,Повний привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1292360-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863971.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,40800,1113452,Тернопіль,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1291553-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863938.html
Volkswagen T-Roc 2021 Sport 1.5 TSI DSG (150 к.с),30877,842649,Дніпро (Дніпропетровськ),Бензин (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-roc__1290680-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-roc-1863903.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,40778,1112852,Полтава,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1289798-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863858.html
Volkswagen Touareg 2021 Touareg 3.0 TFSI AT (340 к.с) AWD,62110,1695013,Полтава,Бензин (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0% / Під замовлення - 15 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1112565-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1855180.html
Volkswagen Tiguan 2021 R-Line 2.0 TDI DSG (150 к.с) 4motion,48360,1319769,Дніпро (Дніпропетровськ),Дизель (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1215767-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1860346.html
Volkswagen T-Cross 2020 Life 1.0 TSI DSG (115 к.с),21900,597662,Дніпро (Дніпропетровськ),Бензин (1.0 л),Автомат,Передній привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1121736-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1863892.html
Volkswagen Tiguan 2021 R-Line 2.0 TSI DSG (220 к.с) 4Motion,45793,1249714,Дніпро (Дніпропетровськ),Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1290952-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863913.html
Volkswagen Touareg 2021 Touareg 3.0 TDI AT (231 к.с) AWD,61290,1672635,Тернопіль,Дизель (3.0 л),Автомат,Повний привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1229278-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1860549.html
Volkswagen Arteon 2021 R-Line 2.0 TDI DSG (200 к.с) 4x4,49050,505,Хмельницький,Дизель (2.0 л),Автомат,Повний привід,Ціну знижено / Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-arteon__1288290-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-arteon-1863794.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,41000,1118911,Полтава,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1288342-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863796.html
Volkswagen Touareg 2021 Touareg 3.0 TDI AT (231 к.с) AWD,63412,1730545,Одеса,Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1276705-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1863259.html
Volkswagen Arteon 2021 R-Line 2.0 TDI DSG (200 к.с) 4x4,49990,1364252,Полтава,Дизель (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-arteon__1283737-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-arteon-1863577.html
Volkswagen Arteon 2021 R-Line 2.0 TDI DSG (200 к.с) 4x4,49050,1338599,Хмельницький,Дизель (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-arteon__1289671-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-arteon-1863853.html
Volkswagen T-Cross 2021 T-Cross 1.0 TSI DSG (115 к.с),25100,684992,Полтава,Бензин (1.0 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1101560-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1854350.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,39831,1087000,Житомир,Бензин (2.0 л),Автомат,Повний привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1133795-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1856329.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,41699,452,Дніпро (Дніпропетровськ),Бензин (2.0 л),Автомат,Повний привід,Ціну знижено / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1291136-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863918.html
Volkswagen Crafter груз. 2020 DOKA Двойная кабина 35 2.0 TDI MT (140 к.с) LR,41500,1132556,Полтава,Дизель (2.0 л),Механічна,Передній привід,Кредит до 3 років під 0% / Під замовлення - 10 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-crafter-gruz__854705-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-crafter-gruz-1838188.html
Volkswagen Passat 2021 Highline 2.0 TSI 7-DSG (190 к.с),39500,1077975,Хмельницький,Бензин (2.0 л),Автомат,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-passat__1288364-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-passat-1863797.html
Volkswagen Touareg 2021 Touareg 3.0 TDI AT (231 к.с) AWD,63485,1732537,Миколаїв,Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0% / Під замовлення - 60 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1291328-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1863924.html
Volkswagen Arteon 2021 R-Line 2.0 TDI DSG (200 к.с) 4x4,49000,505,Хмельницький,Дизель (2.0 л),Автомат,Повний привід,Ціну знижено / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-arteon__1288667-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-arteon-1863808.html
Volkswagen T-Roc 2021 Style 1.5 TSI DSG (150 к.с),28590,780235,Полтава,Бензин (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-roc__1260116-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-roc-1862590.html
Volkswagen Touareg 2021 Touareg 3.0 TDI AT (231 к.с) AWD,62730,1711933,Дніпро (Дніпропетровськ),Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1290052-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1863871.html
Volkswagen Touareg 2021 Touareg 3.0 TDI AT (231 к.с) AWD,63485,1732537,Миколаїв,Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0% / Під замовлення - 60 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1291295-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1863923.html
Volkswagen Tiguan 2021 R-Line 2.0 TSI DSG (220 к.с) 4Motion,43700,1192595,Полтава,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1280702-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1863434.html
Volkswagen Golf 2021 R-Line 1.4 TSI AT (150 к.с),35326,964064,Дніпро (Дніпропетровськ),Бензин (1.4 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-golf__1242784-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-golf-1861744.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,42226,1152369,Одеса,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1248912-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1862046.html
Volkswagen Crafter груз. 2021 HD 35 2.0 TDI MT (140 к.с) LR,37500,1023394,Житомир,Дизель (2.0 л),Механічна,Задній привід,Гарантія до 4 років / Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-crafter-gruz__1195293-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-crafter-gruz-1863722.html
Volkswagen T-Cross 2021 Life 1.0 TSI DSG (115 к.с),23158,632000,Дніпро (Дніпропетровськ),Бензин (1.0 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1242886-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1861750.html
Volkswagen Tiguan 2021 Elegance 2.0 TSI DSG (220 к.с) 4Motion,40500,1105265,Житомир,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1140561-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1856646.html
Volkswagen Golf 2021 R-Line 1.4 TSI AT (150 к.с),35330,951755,Київ,Бензин (1.4 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-golf__1227893-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-golf-1860944.html
Volkswagen Touareg 2021 Touareg 3.0 TDI AT (231 к.с) AWD,61300,1672908,Хмельницький,Дизель (3.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-touareg__1267036-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-touareg-1862854.html
Volkswagen Passat 2021 Elegance 2.0 TDI 7-DSG (200 к.с),47957,1308771,Дніпро (Дніпропетровськ),Дизель (2.0 л),Автомат,Передній привід,Кількість обмежена / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-passat__1288947-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-passat-1863820.html
Volkswagen Golf 2021 R-Line 1.4 TSI AT (150 к.с),34300,936064,Житомир,Бензин (1.4 л),Автомат,Передній привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-golf__1232836-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-golf-1861149.html
Volkswagen T-Cross 2020 Life 1.0 TSI DSG (115 к.с),24356,664687,Житомир,Бензин (1.0 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1162276-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1859435.html
Volkswagen T-Cross 2021 Life 1.0 TSI DSG (115 к.с),24356,664687,Житомир,Бензин (1.0 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1162276-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1857705.html
Volkswagen T-Roc 2021 Style 1.5 TSI DSG (150 к.с),28000,764134,Полтава,Бензин (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-roc__1280685-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-roc-1863433.html
Volkswagen T-Cross 2020 Life 1.0 TSI DSG (115 к.с),24517,669081,Житомир,Бензин (1.0 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1102951-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1859434.html
Volkswagen T-Cross 2020 Life 1.0 TSI DSG (115 к.с),25017,682726,Івано-Франківськ,Бензин (1.0 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1252732-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1862230.html
Volkswagen Tiguan 2021 R-Line 2.0 TDI DSG (150 к.с) 4motion,47203,1288194,Івано-Франківськ,Дизель (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1199143-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1859589.html
Volkswagen T-Cross 2021 Style 1.0 TSI DSG (115 к.с),27480,749943,Полтава,Бензин (1.0 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1226313-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1860871.html
Volkswagen Tiguan 2021 R-Line 2.0 TSI DSG (220 к.с) 4Motion,45470,1240899,Полтава,Бензин (2.0 л),Автомат,Повний привід,Кредит до 3 років під 0% / Під замовлення - 30 днів,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-tiguan__1226184-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-tiguan-1860866.html
Volkswagen Golf 2021 Life 1.6 MPI AT (110 к.с),25500,695908,Полтава,Бензин (1.6 л),Автомат,Передній привід,Краща ціна / Остання пропозиція / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-golf__1232243-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-golf-1861125.html
Volkswagen T-Cross 2021 Style 1.0 TSI DSG (115 к.с),26300,717740,Полтава,Бензин (1.0 л),Автомат,Передній привід,Краща ціна / Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-cross__1280733-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-cross-1863435.html
Volkswagen T-Roc 2021 Style 1.5 TSI DSG (150 к.с),29990,818442,Київ,Бензин (1.5 л),Автомат,Передній привід,Кредит до 3 років під 0%,Перевірений,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/volkswagen-t-roc__1273061-341x224x70.jpg,https://auto.ria.com/newauto/auto-volkswagen-t-roc-1863110.html
